"filename", "language", "TypeScript React", "JSON", "TypeScript", "Markdown", "CSS", "JavaScript", "JSON with Comments", "Pug", "Properties", "HTML", "comment", "blank", "total"
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/.vite/deps/react-router-dom.js", "JavaScript", 0, 0, 0, 0, 0, 910, 0, 0, 0, 0, 576, 6, 1492
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/.vite/deps/react.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 2, 11
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/.vite/deps/react_jsx-dev-runtime.js", "JavaScript", 0, 0, 0, 0, 0, 873, 0, 0, 0, 0, 13, 4, 890
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/.vite/deps/react_jsx-runtime.js", "JavaScript", 0, 0, 0, 0, 0, 885, 0, 0, 0, 0, 13, 4, 902
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/package-lock.json", "JSON", 0, 7456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7457
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/App.tsx", "TypeScript React", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/atomStore.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/backlog.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 14
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/FormInput.tsx", "TypeScript React", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 36
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/Gallery.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 38
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/HomePageBanner.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/HomeProductSection.tsx", "TypeScript React", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 108
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/InfoSection.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/LoginForm.tsx", "TypeScript React", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 99
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/QuoteReview.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/ShopItem.tsx", "TypeScript React", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 11, 147
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/SignUpForm.tsx", "TypeScript React", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 131
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/ZipAdd.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 61
